node,innovation,salary,degree,betweenness
1,0.51,3247,7,0.27847222222222223
2,0.0,6656,4,0.0027777777777777775
3,0.0,7057,4,0.0
4,0.0,8325,3,0.0
5,0.19,4624,6,0.025
6,0.17,3825,6,0.05069444444444445
7,0.35,4307,6,0.20555555555555552
8,0.42,4007,6,0.25972222222222224
9,0.03,7665,3,0.0027777777777777775
10,0.0,8338,3,0.0
11,0.15,4624,6,0.05069444444444445
12,0.56,6287,4,0.525
13,0.11,5058,5,0.00972222222222222
14,0.02,8297,3,0.0027777777777777775
15,0.32,1936,8,0.12569444444444444
16,0.06,7404,3,0.0
17,0.23,5893,5,0.16944444444444445
